"","x","y"
"1",90.99,123.47
"2",97.85,143.33
"3",84.98,148.51
"4",72.96,149.38
"5",111.59,154.56
"6",79.83,143.33
"7",121.03,180.46
"8",86.7,173.55
"9",91.85,148.51
"10",88.41,161.47
"11",98.71,139.88
"12",111.59,150.24
"13",72.96,154.56
"14",92.7,126.06
"15",156.22,127.79
"16",90.99,136.43
"17",106.44,125.2
"18",157.08,144.2
"19",84.98,123.47
"20",73.82,164.92
"21",72.1,155.42
"22",93.56,143.33
"23",60.09,156.29
"24",55.79,141.61
"25",97.85,144.2
"26",132.19,156.29
"27",52.36,164.92
"28",163.95,158.88
"29",84.98,160.6
"30",84.12,153.69
"31",161.37,125.2
"32",84.12,131.24
"33",138.2,162.33
"34",127.9,142.47
"35",109.87,146.79
"36",80.69,158.88
"37",103,103.61
"38",82.4,140.74
"39",90.13,143.33
"40",127.04,158.01
"41",134.76,139.88
"42",65.24,137.29
"43",84.12,149.38
"44",132.19,142.47
"45",118.45,165.78
"46",116.74,170.96
"47",108.15,156.29
"48",93.56,135.56
"49",82.4,125.2
"50",97,132.11
"51",93.56,130.38
"52",80.69,147.65
"53",161.37,151.1
"54",73.82,151.97
"55",153.65,129.52
"56",66.09,153.69
"57",90.99,145.06
"58",77.25,139.02
"59",93.56,141.61
"60",63.52,117.43
"61",67.81,133.84
"62",109.87,139.88
"63",74.68,141.61
"64",65.24,150.24
"65",109.87,165.78
"66",71.24,141.61
"67",135.62,131.24
"68",71.24,165.78
"69",93.56,118.29
"70",124.46,118.29
"71",75.54,174.42
"72",62.66,137.29
"73",102.15,103.61
"74",69.53,142.47
"75",108.15,104.48
"76",115.88,110.52
"77",126.18,144.2
"78",95.28,149.38
"79",118.45,145.06
"80",121.89,151.1
"81",88.41,126.93
"82",98.71,177.01
"83",51.5,142.47
"84",88.41,147.65
"85",53.22,170.1
"86",62.66,132.97
"87",54.08,166.65
"88",26.61,194.28
"89",78.97,153.69
"90",62.66,165.78
"91",54.94,155.42
"92",126.18,164.06
"93",107.3,142.47
"94",72.1,146.79
"95",93.56,114.84
"96",84.98,120.02
"97",102.15,108.8
"98",70.39,153.69
"99",84.98,126.06
"100",95.28,146.79
"101",57.51,164.06
"102",109.01,184.78
"103",113.3,131.24
"104",40.34,184.78
"105",111.59,147.65
"106",126.18,134.7
"107",122.75,154.56
"108",98.71,126.93
