"","url","inning_side","inning","next_","num","gameday_link","row_names","des","des_es","id","type","tfs","tfs_zulu","x","y","sv_id","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","on_1b","on_2b","on_3b","count","pitcher","batter","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","atbat_des_es","event","score","home_team_runs","away_team_runs","event2","event3","batter_name","pitcher_name","event4","date"
"6","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_03_31_detmlb_nyamlb_1","2266923","Foul",NA,579,"S","161043","2011-03-31T20:10:43Z",79.83,143.33,"110331_161022",90.7,83.6,3.16,1.58,0.89,9.19,0.631,2.665,-2.047,50,5.959,6.71,-132.705,-5.63,1.592,28.425,-15.718,"23.8","-9.9","3.9","FC",0.913,3,60,174.476,1807.432,"","",NA,NA,NA,"0-0",121250,276346,2,1,2,"161037","2011-03-31T20:10:37Z","R","5-11","R","Brandon Inge flies out sharply to center fielder Curtis Granderson.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Brandon Inge","Mariano Rivera",NA,"2011_03_31"
"7","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_03_31_detmlb_nyamlb_1","2266924","Ball",NA,580,"B","161101","2011-03-31T20:11:01Z",121.03,180.46,"110331_161040",89.1,84,3.15,1.33,1.3,9.45,-0.581,1.126,-2.357,50,5.801,4.178,-130.34,-9.185,2.285,21.069,-15.436,"23.9","-9.8","3.9","FC",0.89,13,56,172.228,1880.346,"","",NA,NA,NA,"0-1",121250,276346,2,1,2,"161037","2011-03-31T20:10:37Z","R","5-11","R","Brandon Inge flies out sharply to center fielder Curtis Granderson.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Brandon Inge","Mariano Rivera",NA,"2011_03_31"
"8","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_03_31_detmlb_nyamlb_1","2266925","Ball",NA,581,"B","161118","2011-03-31T20:11:18Z",86.7,173.55,"110331_161057",91.4,84,3.19,1.38,-0.6,10.25,0.447,1.422,-2.106,50,5.812,6.928,-133.647,-8.966,-1.087,30.148,-13.659,"23.8","-1.5","3.5","FC",0.864,9,47,183.358,2013.325,"","",NA,NA,NA,"1-1",121250,276346,2,1,2,"161037","2011-03-31T20:10:37Z","R","5-11","R","Brandon Inge flies out sharply to center fielder Curtis Granderson.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Brandon Inge","Mariano Rivera",NA,"2011_03_31"
"9","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_03_31_detmlb_nyamlb_1","2266926","In play, out(s)",NA,582,"X","161137","2011-03-31T20:11:37Z",91.85,148.51,"110331_161116",89.9,83.5,3.16,1.58,-0.22,10.16,0.277,2.45,-2.149,50,5.873,6.401,-131.619,-6.222,-0.394,25.657,-14.113,"23.8","-3.0","3.5","FC",0.9,6,27,181.248,1991.264,"","",NA,NA,NA,"2-1",121250,276346,2,1,2,"161037","2011-03-31T20:10:37Z","R","5-11","R","Brandon Inge flies out sharply to center fielder Curtis Granderson.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Brandon Inge","Mariano Rivera",NA,"2011_03_31"
"10","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",68,"gid_2011_03_31_detmlb_nyamlb_1","2266920","Called Strike",NA,573,"S","160925","2011-03-31T20:09:25Z",88.41,161.47,"110331_160904",90,83.3,3.57,1.54,-0.42,11.55,0.349,1.962,-2.106,50,5.949,6.537,-131.644,-8.128,-0.74,26.748,-11.736,"23.8","-2.3","3.1","FC",0.903,9,55,182.072,2253.845,"","",NA,NA,NA,"0-0",121250,425509,0,2,1,"160915","2011-03-31T20:09:15Z","R","6-2","R","Jhonny Peralta flies out to right fielder Nick Swisher.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Jhonny Peralta","Mariano Rivera",NA,"2011_03_31"
"11","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",68,"gid_2011_03_31_detmlb_nyamlb_1","2266921","Foul",NA,574,"S","160942","2011-03-31T20:09:42Z",98.71,139.88,"110331_160920",90.6,83.8,3.57,1.71,-0.32,10.98,0.057,2.816,-2.069,50,6.017,5.688,-132.596,-6.03,-0.569,26.794,-12.43,"23.8","-2.3","3.1","FC",0.892,5,21,181.649,2161.161,"","",NA,NA,NA,"0-1",121250,425509,0,2,1,"160915","2011-03-31T20:09:15Z","R","6-2","R","Jhonny Peralta flies out to right fielder Nick Swisher.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Jhonny Peralta","Mariano Rivera",NA,"2011_03_31"
"12","http://gd2.mlb.com/components/game/mlb/year_2011/month_03/day_31/gid_2011_03_31_detmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",68,"gid_2011_03_31_detmlb_nyamlb_1","2266922","In play, out(s)",NA,575,"X","161007","2011-03-31T20:10:07Z",111.59,150.24,"110331_160946",89.7,84.2,3.57,1.71,1.85,6.34,-0.324,2.351,-2.442,50,5.929,4.904,-131.308,-5.373,3.301,22.588,-20.804,"23.9","-10.6","5.0","FC",0.897,4,32,163.812,1308.109,"Mariano Rivera is trying to tie up Jhonny Peralta with fastballs inside, where Jhonny Peralta hits .000.","",NA,NA,NA,"0-2",121250,425509,0,2,1,"160915","2011-03-31T20:09:15Z","R","6-2","R","Jhonny Peralta flies out to right fielder Nick Swisher.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Jhonny Peralta","Mariano Rivera",NA,"2011_03_31"
"13","http://gd2.mlb.com/components/game/mlb/year_2011/month_04/day_07/gid_2011_04_07_minmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_04_07_minmlb_nyamlb_1","2290963","Foul",NA,571,"S","161155","2011-04-07T20:11:55Z",72.96,154.56,"110407_161137",91.4,84,3.68,1.77,2.48,11.57,0.854,2.253,-2.033,50,5.891,6.757,-133.688,-7.448,4.472,30.049,-11.254,"23.8","-24.7","3.2","FC",0.919,14,70,167.935,2321.53,"","",NA,NA,NA,"0-0",121250,502143,2,1,2,"161150","2011-04-07T20:11:50Z","R","6-2","R","Danny Valencia flies out to left fielder Brett Gardner.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Daniel Valencia","Mariano Rivera",NA,"2011_04_07"
"14","http://gd2.mlb.com/components/game/mlb/year_2011/month_04/day_07/gid_2011_04_07_minmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_04_07_minmlb_nyamlb_1","2290964","Ball",NA,572,"B","161216","2011-04-07T20:12:16Z",92.7,126.06,"110407_161157",90.2,83.2,3.63,1.56,2.95,9.89,0.237,3.456,-1.985,50,5.97,4.8,-132.215,-3.77,5.226,28.11,-14.583,"23.8","-22.0","3.8","FC",0.918,3,38,163.456,2013.623,"","",NA,NA,NA,"0-1",121250,502143,2,1,2,"161150","2011-04-07T20:11:50Z","R","6-2","R","Danny Valencia flies out to left fielder Brett Gardner.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Daniel Valencia","Mariano Rivera",NA,"2011_04_07"
"15","http://gd2.mlb.com/components/game/mlb/year_2011/month_04/day_07/gid_2011_04_07_minmlb_nyamlb_1/inning/inning_all.xml","top",9,"N",69,"gid_2011_04_07_minmlb_nyamlb_1","2290965","Ball",NA,573,"B","161235","2011-04-07T20:12:35Z",156.22,127.79,"110407_161217",90.1,83.4,3.52,1.59,-5.29,4.71,-1.675,3.378,-2.108,50,6.019,2.928,-132.162,-2.366,-9.39,26.989,-23.724,"23.8","20.0","5.9","FF",0.982,11,30,228.015,1386.684,"","",NA,NA,NA,"1-1",121250,502143,2,1,2,"161150","2011-04-07T20:11:50Z","R","6-2","R","Danny Valencia flies out to left fielder Brett Gardner.  ",NA,"Flyout",NA,NA,NA,NA,NA,"Daniel Valencia","Mariano Rivera",NA,"2011_04_07"
